frame_number,time_relative,src_ip,dst_ip,src_port,dst_port,packet_length,protocol,http_method,http_uri
1,0.000000000,192.168.31.54,192.168.31.9,64078,9000,60,TCP,,
2,0.000107992,192.168.31.9,192.168.31.54,9000,64078,54,TCP,,
3,9.970681055,192.168.31.54,192.168.31.9,64078,9000,60,TCP,,
4,9.970781072,192.168.31.9,192.168.31.54,9000,64078,54,TCP,,
5,9.971248395,192.168.31.54,192.168.31.9,60541,9000,66,TCP,,
6,9.971349794,192.168.31.9,192.168.31.54,9000,60541,66,TCP,,
7,9.971819411,192.168.31.54,192.168.31.9,60541,9000,60,TCP,,
8,9.972469525,192.168.31.54,192.168.31.9,60541,9000,342,HTTP,GET,/safe
9,9.972486056,192.168.31.9,192.168.31.54,9000,60541,54,TCP,,
10,9.980953651,192.168.31.9,192.168.31.54,9000,60541,179,TCP,,
11,9.981178351,192.168.31.9,192.168.31.54,9000,60541,89,HTTP/JSON,,/safe
12,9.981358938,192.168.31.54,192.168.31.9,60541,9000,60,TCP,,
13,14.982518219,192.168.31.9,192.168.31.54,9000,60541,54,TCP,,
14,14.983025827,192.168.31.54,192.168.31.9,60541,9000,60,TCP,,
15,22.631418202,192.168.31.54,192.168.31.9,60541,9000,60,TCP,,
16,22.631444932,192.168.31.9,192.168.31.54,9000,60541,54,TCP,,
17,69.974035490,192.168.31.54,192.168.31.9,59436,9000,66,TCP,,
18,69.974111402,192.168.31.9,192.168.31.54,9000,59436,66,TCP,,
19,69.974525556,192.168.31.54,192.168.31.9,59436,9000,60,TCP,,
20,69.974803405,192.168.31.54,192.168.31.9,59436,9000,342,HTTP,GET,/safe
21,69.974813103,192.168.31.9,192.168.31.54,9000,59436,54,TCP,,
22,69.979798903,192.168.31.9,192.168.31.54,9000,59436,179,TCP,,
23,69.980036957,192.168.31.9,192.168.31.54,9000,59436,89,HTTP/JSON,,/safe
24,69.980241579,192.168.31.54,192.168.31.9,59436,9000,60,TCP,,
25,74.981581637,192.168.31.9,192.168.31.54,9000,59436,54,TCP,,
26,74.981971539,192.168.31.54,192.168.31.9,59436,9000,60,TCP,,
27,86.942921898,192.168.31.54,192.168.31.9,59436,9000,60,TCP,,
28,86.942976120,192.168.31.9,192.168.31.54,9000,59436,54,TCP,,
29,129.970464808,192.168.31.54,192.168.31.9,56930,9000,66,TCP,,
30,129.970518989,192.168.31.9,192.168.31.54,9000,56930,66,TCP,,
31,129.970927483,192.168.31.54,192.168.31.9,56930,9000,60,TCP,,
32,129.971325158,192.168.31.54,192.168.31.9,56930,9000,342,HTTP,GET,/safe
33,129.971346037,192.168.31.9,192.168.31.54,9000,56930,54,TCP,,
34,129.976211118,192.168.31.9,192.168.31.54,9000,56930,179,TCP,,
35,129.976720620,192.168.31.9,192.168.31.54,9000,56930,89,HTTP/JSON,,/safe
36,129.976914664,192.168.31.54,192.168.31.9,56930,9000,60,TCP,,
37,134.977320981,192.168.31.9,192.168.31.54,9000,56930,54,TCP,,
38,134.977644265,192.168.31.54,192.168.31.9,56930,9000,60,TCP,,
39,143.468224547,192.168.31.54,192.168.31.9,56930,9000,60,TCP,,
40,143.468265664,192.168.31.9,192.168.31.54,9000,56930,54,TCP,,
41,189.976811130,192.168.31.54,192.168.31.9,62988,9000,66,TCP,,
42,189.977515848,192.168.31.9,192.168.31.54,9000,62988,66,TCP,,
43,189.977815993,192.168.31.54,192.168.31.9,62988,9000,60,TCP,,
44,189.978200627,192.168.31.54,192.168.31.9,62988,9000,342,HTTP,GET,/safe
45,189.978219573,192.168.31.9,192.168.31.54,9000,62988,54,TCP,,
46,189.983209442,192.168.31.9,192.168.31.54,9000,62988,179,TCP,,
47,189.983439745,192.168.31.9,192.168.31.54,9000,62988,89,HTTP/JSON,,/safe
48,189.983582825,192.168.31.54,192.168.31.9,62988,9000,60,TCP,,
49,194.985578385,192.168.31.9,192.168.31.54,9000,62988,54,TCP,,
50,194.985960052,192.168.31.54,192.168.31.9,62988,9000,60,TCP,,
51,204.554508356,192.168.31.54,192.168.31.9,62988,9000,60,TCP,,
52,204.554606481,192.168.31.9,192.168.31.54,9000,62988,54,TCP,,
53,249.983141782,192.168.31.54,192.168.31.9,51031,9000,66,TCP,,
54,249.983985363,192.168.31.9,192.168.31.54,9000,51031,66,TCP,,
55,249.984315404,192.168.31.54,192.168.31.9,51031,9000,60,TCP,,
56,249.984889796,192.168.31.54,192.168.31.9,51031,9000,342,HTTP,GET,/safe
57,249.984911327,192.168.31.9,192.168.31.54,9000,51031,54,TCP,,
58,249.988796335,192.168.31.9,192.168.31.54,9000,51031,179,TCP,,
59,249.989283306,192.168.31.9,192.168.31.54,9000,51031,89,HTTP/JSON,,/safe
60,249.989585303,192.168.31.54,192.168.31.9,51031,9000,60,TCP,,
61,254.991289138,192.168.31.9,192.168.31.54,9000,51031,54,TCP,,
62,254.991614377,192.168.31.54,192.168.31.9,51031,9000,60,TCP,,
63,255.508166919,192.168.31.54,192.168.31.9,51031,9000,60,TCP,,
64,255.508223557,192.168.31.9,192.168.31.54,9000,51031,54,TCP,,
