frame_number	time_relative	ip_src	ip_dst	tcp_srcport	tcp_dstport	frame_len	protocol	http_method	http_uri	label
1	0.000000000	192.168.31.54	192.168.31.9	56332	9000	60	TCP			MALICIOUS
2	0.000041108	192.168.31.9	192.168.31.54	9000	56332	54	TCP			MALICIOUS
3	0.000360739	192.168.31.54	192.168.31.9	65045	9000	66	TCP			MALICIOUS
4	0.000759680	192.168.31.9	192.168.31.54	9000	65045	66	TCP			MALICIOUS
5	0.001099409	192.168.31.54	192.168.31.9	65045	9000	60	TCP			MALICIOUS
6	0.001390527	192.168.31.54	192.168.31.9	65045	9000	469	TCP			MALICIOUS
7	0.001390687	192.168.31.54	192.168.31.9	65045	9000	10169	HTTP/JSON	POST	/malicious-test	MALICIOUS
8	0.001405405	192.168.31.9	192.168.31.54	9000	65045	54	TCP			MALICIOUS
9	0.001459496	192.168.31.9	192.168.31.54	9000	65045	54	TCP			MALICIOUS
10	0.003156030	192.168.31.9	192.168.31.54	9000	65045	211	TCP			MALICIOUS
11	0.003352089	192.168.31.9	192.168.31.54	9000	65045	149	HTTP/JSON		/malicious-test	MALICIOUS
12	0.003582172	192.168.31.54	192.168.31.9	65045	9000	60	TCP			MALICIOUS
13	5.004209061	192.168.31.9	192.168.31.54	9000	65045	54	TCP			MALICIOUS
14	5.004553827	192.168.31.54	192.168.31.9	65045	9000	60	TCP			MALICIOUS
15	47.421812474	192.168.31.54	192.168.31.9	65045	9000	60	TCP			MALICIOUS
16	47.421889539	192.168.31.9	192.168.31.54	9000	65045	54	TCP			MALICIOUS
17	60.000927939	192.168.31.54	192.168.31.9	59426	9000	66	TCP			MALICIOUS
18	60.001011105	192.168.31.9	192.168.31.54	9000	59426	66	TCP			MALICIOUS
19	60.001251417	192.168.31.54	192.168.31.9	59426	9000	60	TCP			MALICIOUS
20	60.001565576	192.168.31.54	192.168.31.9	59426	9000	469	TCP			MALICIOUS
21	60.001565797	192.168.31.54	192.168.31.9	59426	9000	10169	HTTP/JSON	POST	/malicious-test	MALICIOUS
22	60.001582969	192.168.31.9	192.168.31.54	9000	59426	54	TCP			MALICIOUS
23	60.001645998	192.168.31.9	192.168.31.54	9000	59426	54	TCP			MALICIOUS
24	60.004312823	192.168.31.9	192.168.31.54	9000	59426	211	TCP			MALICIOUS
25	60.004553567	192.168.31.9	192.168.31.54	9000	59426	149	HTTP/JSON		/malicious-test	MALICIOUS
26	60.004831028	192.168.31.54	192.168.31.9	59426	9000	60	TCP			MALICIOUS
27	65.005301692	192.168.31.9	192.168.31.54	9000	59426	54	TCP			MALICIOUS
28	65.005778751	192.168.31.54	192.168.31.9	59426	9000	60	TCP			MALICIOUS
29	110.020688877	192.168.31.54	192.168.31.9	59426	9000	60	TCP			MALICIOUS
30	110.020760472	192.168.31.9	192.168.31.54	9000	59426	54	TCP			MALICIOUS
31	144.007420756	192.168.31.54	192.168.31.9	59426	9000	60	TCP			MALICIOUS
32	144.008289762	192.168.31.9	192.168.31.54	9000	59426	54	TCP			MALICIOUS
