frame_number	time_relative	ip_src	ip_dst	tcp_srcport	tcp_dstport	frame_len	protocol	http_method	http_uri	label
1	0.000000000	192.168.31.54	192.168.31.9	56297	9000	66	TCP			BENIGN
2	0.000896235	192.168.31.9	192.168.31.54	9000	56297	66	TCP			BENIGN
3	0.001179558	192.168.31.54	192.168.31.9	56297	9000	60	TCP			BENIGN
4	0.001447261	192.168.31.54	192.168.31.9	56297	9000	469	TCP			BENIGN
5	0.001447481	192.168.31.54	192.168.31.9	56297	9000	10169	HTTP/JSON	POST	/malicious-test	BENIGN
6	0.001460025	192.168.31.9	192.168.31.54	9000	56297	54	TCP			BENIGN
7	0.001514136	192.168.31.9	192.168.31.54	9000	56297	54	TCP			BENIGN
8	0.003211563	192.168.31.9	192.168.31.54	9000	56297	211	TCP			BENIGN
9	0.003454881	192.168.31.9	192.168.31.54	9000	56297	149	HTTP/JSON		/malicious-test	BENIGN
10	0.003659776	192.168.31.54	192.168.31.9	56297	9000	60	TCP			BENIGN
11	5.005161095	192.168.31.9	192.168.31.54	9000	56297	54	TCP			BENIGN
12	5.005429943	192.168.31.54	192.168.31.9	56297	9000	60	TCP			BENIGN
13	38.656906186	192.168.31.54	192.168.31.9	56297	9000	60	TCP			BENIGN
14	38.656933748	192.168.31.9	192.168.31.54	9000	56297	54	TCP			BENIGN
