frame_number,time_relative,src_ip,dst_ip,src_port,dst_port,packet_length,protocol,http_method,http_uri
1,0.000000000,192.168.31.54,192.168.31.9,60063,9000,66,TCP,,
2,0.000054202,192.168.31.9,192.168.31.54,9000,60063,66,TCP,,
3,0.000358845,192.168.31.54,192.168.31.9,60063,9000,60,TCP,,
4,0.000733018,192.168.31.54,192.168.31.9,60063,9000,342,HTTP,GET,/safe
5,0.000745402,192.168.31.9,192.168.31.54,9000,60063,54,TCP,,
6,0.002097393,192.168.31.9,192.168.31.54,9000,60063,179,TCP,,
7,0.002232217,192.168.31.9,192.168.31.54,9000,60063,89,HTTP/JSON,,/safe
8,0.002343786,192.168.31.54,192.168.31.9,60063,9000,60,TCP,,
9,5.003010759,192.168.31.9,192.168.31.54,9000,60063,54,TCP,,
10,5.003303656,192.168.31.54,192.168.31.9,60063,9000,60,TCP,,
11,25.467644387,192.168.31.54,192.168.31.9,60063,9000,60,TCP,,
12,25.467670496,192.168.31.9,192.168.31.54,9000,60063,54,TCP,,
